CWE_RULE,Parentof,Childof,Enforced By,QAC MESSAGE,MISRA C:2012 / Coding Standard v6 Rules,CERT C,Comments
,,,QAC,2936,Rule-21.17|Rule-21.18|Rule-18.1|Dir-4.1,,
,,,QAC,2937,Rule-21.17|Rule-21.18|Rule-18.1|Dir-4.1,,
,,,QAC,2938,,,
,,,QAC,2939,,,
,,,QAC,2950,,,
,,,QAC,2951,,,
,,,QAC,2952,,,
,,,QAC,2953,,,
CWE-134,,"668,20",QAC,160,Rule-1.3,"FIO30-C,FIO47-C",
,,,QAC,161,Rule-1.3,,
,,,QAC,162,Rule-1.3,,
,,,QAC,163,Rule-1.3,,
,,,QAC,164,Rule-1.3,,
,,,QAC,165,Rule-1.3,,
,,,QAC,166,Rule-1.3,,
,,,QAC,167,Rule-1.3,,
,,,QAC,168,Rule-1.3,,
,,,QAC,169,Rule-1.3,,
,,,QAC,170,Rule-1.3,,
,,,QAC,171,Rule-1.3,,
,,,QAC,172,Rule-1.3,,
,,,QAC,173,Rule-1.3,,
,,,QAC,174,Rule-1.3,,
,,,QAC,175,Rule-1.3,,
,,,QAC,176,Rule-1.3,,
,,,QAC,177,Rule-1.3,,
,,,QAC,178,Rule-1.3,,
,,,QAC,179,Rule-1.3,,
,,,QAC,184,Rule-1.3,,
,,,QAC,185,Rule-1.3,,
,,,QAC,186,Rule-1.3,,
,,,QAC,190,Rule-1.3,,
,,,QAC,191,Rule-1.3,,
,,,QAC,192,Rule-1.3,,
,,,QAC,193,Rule-1.3,,
,,,QAC,194,Rule-1.3,,
,,,QAC,195,Rule-1.3,,
,,,QAC,196,Rule-1.3,,
,,,QAC,197,Rule-1.3,,
,,,QAC,198,Rule-1.3,,
,,,QAC,199,Rule-1.3,,
,,,QAC,200,Rule-1.3,,
,,,QAC,201,Rule-1.3,,
,,,QAC,203,Rule-1.3,,
,,,QAC,204,Rule-1.3,,
,,,QAC,206,Rule-1.3,,
,,,QAC,207,Rule-1.3,,
,,,QAC,208,Rule-1.3,,
,,,QAC,235,Rule-1.3,,
,,,QAC,337,Rule-1.3,,
CWE-135,,682,QAC,432,Rule-1.1,Not Mapped,Not Mapped
,,,QAC,701,,,
CWE-170,,"707,20",CWECCM,,,"POS30-C,STR03-C,STR32-C",no POSIX operating system
CWE-176,,172,QAC,3609,,Not Mapped,Not Mapped
,,,QAC,3610,,,
CWE-187,,1023,CWECCM,,,Not Mapped,Not Mapped
CWE-188,198,"1105,435",QAC,309,Rule-1.3,Not Mapped,Not Mapped
,,,QAC,310,Rule-11.3,,
,,,QAC,313,Rule-11.1,,
,,,QAC,314,Dir-1.1,,
,,,QAC,315,Dir-1.1,,
,,,QAC,316,Rule-11.5,,
,,,QAC,317,Rule-11.5,,
,,,QAC,488,Rule-18.4,,
,,,QAC,489,,,
,,,QAC,490,,,
,,,QAC,491,,,
,,,QAC,492,,,
,,,QAC,507,,,
,,,QAC,508,,,
,,,QAC,509,,,
,,,QAC,510,,,
,,,QAC,513,Rule-1.1,,
,,,QAC,514,Rule-1.1,,
,,,QAC,515,Rule-1.1,,
,,,QAC,550,Rule-1.1,,
,,,QAC,558,Rule-1.1,,
,,,QAC,563,Rule-1.1,,
,,,QAC,696,,,
,,,QAC,697,,,
,,,QAC,751,,,
,,,QAC,3305,Rule-11.3,,
,,,QAC,3686,,,
,,,QAC,3690,,,
CWE-190,,"20,682",QAC,696,,"INT18-C,INT30-C,INT32-C,INT35-C,MEM07-C,MEM35-C",Used processors/compilers avoid addressed problem
,,,QAC,2800,Rule-1.3,,
,,,QAC,2801,Dir-4.1,,
,,,QAC,2802,Dir-4.1,,
,,,QAC,2803,,,
,,,QAC,2910,Rule-12.4,,
,,,QAC,2911,,,
,,,QAC,2912,,,
,,,QAC,2913,,,
CWE-191,,682,QAC,2910,Rule-12.4,"INT30-C,INT32-C",
,,,QAC,2911,,,
,,,QAC,2912,,,
,,,QAC,2913,,,
CWE-193,,682,CWECCM,,,Not Mapped,Not Mapped
CWE-194,,681,QAC,3738,,INT31-C,
,,,QAC,3740,,,
,,,QAC,3741,,,
,,,QAC,3742,,,
,,,QAC,3743,,,
,,,QAC,3762,,,
CWE-195,,681,QAC,1820,Rule-10.4,INT31-C,
,,,QAC,1821,Rule-10.4,,
,,,QAC,1822,Rule-10.4,,
,,,QAC,1823,Rule-10.4,,
,,,QAC,1824,Rule-10.4,,
,,,QAC,1830,Rule-10.4,,
,,,QAC,1831,Rule-10.4,,
,,,QAC,1832,Rule-10.4,,
,,,QAC,1833,Rule-10.4,,
,,,QAC,1834,Rule-10.4,,
,,,QAC,1840,Rule-10.4,,
,,,QAC,1841,Rule-10.4,,
,,,QAC,1842,Rule-10.4,,
,,,QAC,1843,Rule-10.4,,
,,,QAC,1844,Rule-10.4,,
CWE-196,,681,QAC,3711,,Not Mapped,Not Mapped
,,,QAC,3712,,,
,,,QAC,3713,,,
,,,QAC,3715,,,
,,,QAC,3717,,,
,,,QAC,3719,,,
,,,QAC,3720,,,
,,,QAC,3721,,,
,,,QAC,3744,,,
,,,QAC,3745,,,
,,,QAC,3747,,,
,,,QAC,3748,,,
,,,QAC,3750,,,
,,,QAC,3752,,,
,,,QAC,3753,,,
,,,QAC,3754,,,
,,,QAC,3766,,,
,,,QAC,3767,,,
,,,QAC,3769,,,
,,,QAC,3771,,,
,,,QAC,3772,,,
,,,QAC,3774,,,
,,,QAC,3775,,,
,,,QAC,3776,,,
,,,QAC,3788,,,
,,,QAC,3789,,,
,,,QAC,3791,,,
,,,QAC,3793,,,
,,,QAC,3795,,,
,,,QAC,3796,,,
